"rank","name","followers","engagement_rate","country","topic_of_influence","potential_reach","username"
63,Bruno Mars,32200000,"5.38",United States,Entertainment and Music Music Singer Actors,32200000,brunomars
34,Lele Pons,53600000,"1.3",United States,Art Entertainment and Music Video Blogger Artist,53600000,lelepons
35,Kris Jenner,52800000,"0.31",United States,TV Shows Celebrities Producers Public Figure,52800000,krisjenner
36,House of Highlights,52000000,"0.72",United States,Sports Entertainment and Music News Video Gaming,52000000,houseofhighlights
37,MrBeast,51400000,"3.77",United States,Food Entertainment and Music Finance,51400000,mrbeast
38,Vanessa Hudgens,51300000,"0.67",United States,Entertainment and Music Fashion and Accessories Actors Personal Blog,51300000,vanessahudgens
39,Hailey Rhode Baldwin Bieber,51100000,"3.5",United States,Fashion and Accessories Celebrity Modeling,51100000,haileybieber
40,Chris Pratt,46000000,"0.45",United States,Acting and Drama Sports Celebrity Actors,46000000,prattprattpratt
41,Jennifer Aniston,45200000,"5.63",United States,Entertainment and Music Celebrity,45200000,jenniferaniston
42,Blake Lively,44700000,"0.04",United States,Entertainment and Music Business and Finance Actors Entrepreneur,44700000,blakelively
43,T-Raww,44500000,"2.95",United States,Art Singer Music Rap,44500000,tyga
44,chrissy teigen,42700000,"0.1",United States,Food Modeling TV Host Personal Blog,42700000,chrissyteigen
45,Marshall Mathers,41400000,"1.6",United States,Music Singer Rap,41400000,eminem
46,Wiz Khalifa,40500000,"0.42",United States,Entertainment and Music Music DJ Singer,40500000,wizkhalifa
47,Jenna Ortega,39700000,"8.22",United States,Lifestyle Actors,39700000,jennaortega
48,French Montana,38600000,"0.89",United States,Entertainment and Music Music Singer Rap,38600000,frenchmontana
49,DJ KHALED,38500000,"0.08",United States,Entertainment and Music Parenting DJ Celebrities,38500000,djkhaled
50,Madison Beer,38000000,"0.03",United States,Entertainment and Music Music Singer Actors,38000000,madisonbeer
51,Becky G,37800000,"0.99",United States,Beauty and Self Care Music Musician,37800000,iambeckyg
52,Olivia Rodrigo,36800000,"0.05",United States,Entertainment and Music Modeling Music Musician,36800000,oliviarodrigo
53,Shay Mitchell,36500000,"0.28",United States,Celebrity Modeling Actor Creators & Celebrities,36500000,shaymitchell
54,Barack Obama,36500000,"0.39",United States,Politics Public Figure,36500000,barackobama
55,Addison Rae,36000000,"1.06",United States,Beauty and Self Care Public Figure Creators & Celebrities,36000000,addisonraee
56,Nick Jonas,35400000,"1.06",United States,Entertainment and Music Food Product Showcase Artist,35400000,nickjonas
57,Ciara,35400000,"0.97",United States,Beauty and Self Care Entertainment and Music Business and Finance Celebrity,35400000,ciara
58,DR. SHAQUILLE O'NEAL Ed.D.,33700000,"0.12",United States,Sports Celebrity Music Film Director,33700000,shaq
59,Cole Sprouse,32700000,"0.31",United States,Entertainment and Music Actors Day Care,32700000,colesprouse
60,Niall Horan,32700000,"1.42",United States,Band Photography Music,32700000,niallhoran
61,Dan Bilzerian,32600000,"5.69",United States,Entertainment and Music Actors,32600000,danbilzerian
66,Megan Thee Stallion,32000000,"0.06",United States,Entertainment and Music Music Entertainment Singer,32000000,theestallion
67,"50 Cent",31300000,"0.15",United States,Entertainment and Music Entertainment Singer Music,31300000,"50cent"
68,Ice Cube,30900000,"0.11",United States,Entertainment and Music Singer Rap,30900000,icecube
70,Reese Witherspoon,30200000,"0.68",United States,Entertainment and Music Actors Artist,30200000,reesewitherspoon
71,Emily Ratajkowski,30000000,"1.37",United States,Fashion and Accessories Beauty and Self Care Entertainment and Music Creators & Celebrities,30000000,emrata
72,Floyd Mayweather,29600000,"0.2",United States,Sports Boxing,29600000,floydmayweather
73,Scott Disick,29400000,"0.35",United States,Fashion and Accessories Product Showcase Entrepreneur,29400000,letthelordbewithyou
74,Zach King,29400000,"2.3",United States,Entertainment and Music Arts and Crafts Animation and Cosplay Celebrity,29400000,zachking
75,Johnny Depp,28800000,"4.01",United States,Entertainment and Music Celebrity,28800000,johnnydepp
76,Mark Wahlberg,28600000,"0.31",United States,Entertainment and Music Food Fitness and Health Celebrity,28600000,markwahlberg
77,Salma Hayek Pinault,28500000,"1.29",United States,Actors Actor Creators & Celebrities,28500000,salmahayek
78,Lily Collins,28400000,"1.51",United States,Modeling Fashion Design,28400000,lilyjcollins
62,Jason Derulo,32300000,"1.1",United States,Entertainment and Music Singer,32300000,jasonderulo
3,Dwayne Johnson,397800000,"0.13",United States,Entertainment and Music Actors Public Figure,397800000,therock
4,Ariana Grande,380300000,"0.58",United States,Entertainment and Music Music Singer Actors,380300000,arianagrande
5,Kim Kardashian,364300000,"0.32",United States,Fashion and Accessories Beauty and Self Care Actors Public Figure,364300000,kimkardashian
7,Khloe Kardashian,310600000,"0.19",United States,Fashion and Accessories Modeling Public Figure,310600000,khloekardashian
9,Jennifer Lopez,253600000,"0.01",United States,Art Food and Drink Entertainment and Music Celebrity,253600000,jlo
10,Kourtney Kardashian Barker,224300000,"0.5",United States,Entertainment and Music Business and Finance Modeling Actors,224300000,kourtneykardash
11,Miley Cyrus,217200000,"0.01",United States,Music,217200000,mileycyrus
12,KATY PERRY,207100000,"0.01",United States,Entertainment and Music Music Singer Bands Musicians,207100000,katyperry
13,Zendaya,184800000,"2.92",United States,Entertainment and Music Acting and Drama Celebrity Actors,184800000,zendaya
14,Kevin Hart,180200000,"0.06",United States,Entertainment and Music Comedian Creators & Celebrities,180200000,kevinhart4real
15,Cardi B,169000000,"1.05",United States,Entertainment and Music Singer Hair & Beauty Celebrities,169000000,iamcardib
16,Demi Lovato,157300000,"0.01",United States,Entertainment and Music Singer Songwriting Music,157300000,ddlovato
17,Ellen DeGeneres,139600000,"0.02",United States,Celebrity TV Shows Comedy Actors,139600000,ellendegeneres
64,AGNEZ MO,32100000,"0.15",United States,Entertainment and Music Music Modeling Singer,32100000,agnezmo
65,Anne Hathaway,32100000,"1.33",United States,Entertainment and Music Celebrity Actors Music,32100000,annehathaway
1,Selena Gomez,429700000,"1.09",United States,Beauty and Self Care Entertainment and Music Music Actors,429700000,selenagomez
6,Beyonce,319900000,"0.48",United States,Music Singer,319900000,beyonce
18,BILLIE EILISH,110200000,"0.03",United States,Art Singer,110200000,billieeilish
19,Vin Diesel,102800000,"0.64",United States,Producers Director Actors,102800000,vindiesel
20,DUA LIPA,88700000,"1.05",United States,Entertainment and Music Singer Artist,88700000,dualipa
21,Gigi Hadid,78600000,"1.74",United States,Fashion and Accessories Business and Finance Modeling TV Host,78600000,gigihadid
22,Justin Timberlake,72500000,"0.08",United States,Art Actors Entertainment Songwriting,72500000,justintimberlake
23,Abel Tesfaye,71800000,"1.95",United States,Art Singer Artist,71800000,theweeknd
24,camila,66500000,"1.42",United States,Entertainment and Music Celebrity Singer Music,66500000,camila_cabello
25,Will Smith,64700000,"0.28",United States,Entertainment and Music Producers Hip hop music Artist,64700000,willsmith
26,Leonardo DiCaprio,62100000,"0.2",United States,Entertainment and Music Celebrity Actors Producers,62100000,leonardodicaprio
27,Zac Efron,62000000,"0.02",United States,Actors,62000000,zacefron
28,Bella ,60900000,"1.83",United States,Technology Modeling Scientist,60900000,bellahadid
29,Robert Downey Jr.,57200000,"0.62",United States,Actors,57200000,robertdowneyjr
30,Lady Gaga,56400000,"0.96",United States,Shopping Music Singer Songwriting,56400000,ladygaga
31,Wardell Curry,56400000,"0.9",United States,Sports Basketball Athlete Creators & Celebrities,56400000,stephencurry30
32,Nusr_et#Saltbae,54000000,"0.16",United States,Food Business and Finance Chef,54000000,nusr_et
33,flame,53700000,"2.31",United States,Music Art DJ,53700000,travisscott
79,LA ROSALIA.vt,28100000,"7.25",United States,Music Actors,28100000,rosalia
80,Alicia Keys,27600000,"0.3",United States,Entertainment and Music Beauty and Self Care Celebrity Modeling,27600000,aliciakeys
81,Mike Tyson,27100000,"3.92",United States,Sports Fan Pages Public Figure Creators & Celebrities,27100000,miketyson
82,Logan Paul,27100000,"1.8",United States,Entertainment and Music Product Showcase Video Blogger,27100000,loganpaul
83,Hilary Duff,26900000,"0.5",United States,Entertainment and Music Modeling Singer Actors,26900000,hilaryduff
84,Jimmy Fallon,26700000,"0.58",United States,Entertainment and Music TV Shows Music Humor,26700000,jimmyfallon
85,Paris Hilton,26400000,"0.89",United States,Entertainment and Music Fashion and Accessories Creators & Celebrities,26400000,parishilton
86,Hannah Stocking,26400000,"0.47",United States,Entertainment and Music Funny Parenting Modeling,26400000,hannahstocking
87,Nina Dobrev,26300000,"1.7",United States,Actors Artist,26300000,nina
88,Sadie Sink,26200000,"10.51",United States,Entertainment and Music Lifestyle Modeling,26200000,sadiesink_
89,Lili Reinhart,26100000,"2.71",United States,Acting and Drama Fitness and Health Celebrity Actors,26100000,lilireinhart
90,King Bach,25800000,"0.46",United States,Entertainment and Music Music Producers Modeling,25800000,kingbach
91,Jake Paul,25600000,"1.17",United States,Entertainment and Music Sports Parenting Animals & Pets,25600000,jakepaul
92,Future PLUTO Hendrix,25300000,"5.71",United States,Singer Rap,25300000,future
93,Sommer Ray,24800000,"0.39",United States,Fitness and Health Beauty and Self Care Business and Finance Modeling,24800000,sommerray
94,Madelaine Petsch,24800000,"4.28",United States,Celebrity Actors,24800000,madelame
95,Noah Schnapp,24600000,"10.41",United States,Actors Film Actor,24600000,noahschnapp
96,Victoria Justice,24500000,"0.57",United States,Entertainment and Music Celebrity Actors Modeling,24500000,victoriajustice
97,Amber Rose,24500000,"0.12",United States,Beauty and Self Care Entertainment and Music Parenting Actors,24500000,amberrose
98,Doja Cat,24500000,"3.85",United States,Entertainment and Music Music Modeling Entertainment,24500000,dojacat
99,Susane Damouni.dxoxo,24400000,"5.3",United States,Beauty and Self Care Fashion and Accessories Life and Society Bikini,24400000,susana
100,Lucy Hale,24400000,"0.53",United States,Celebrity Pets Actors,24400000,lucyhale
2,Kylie,400500000,"0",United States,Beauty and Self Care Product Showcase Modeling Public Figure,400500000,kyliejenner
8,Taylor Swift,283400000,"0",United States,Entertainment and Music Music Singer Songwriting,283400000,taylorswift
69,hakki akdeniz,30500000,"0",United States,Parenting Music Entrepreneur,30500000,hakkiakdenizz
