"platform","rank","name","followers","engagement_rate","country","topic_of_influence","potential_reach"
instagram,1,Selena Gomez,429700000,"1.09",United States,Beauty and Self Care Entertainment and Music Music Actors,429700000
instagram,2,Kylie,400500000,"0",United States,Beauty and Self Care Product Showcase Modeling Public Figure,400500000
instagram,3,Dwayne Johnson,397800000,"0.13",United States,Entertainment and Music Actors Public Figure,397800000
instagram,4,Ariana Grande,380300000,"0.58",United States,Entertainment and Music Music Singer Actors,380300000
instagram,5,Kim Kardashian,364300000,"0.32",United States,Fashion and Accessories Beauty and Self Care Actors Public Figure,364300000
instagram,6,Beyonce,319900000,"0.48",United States,Music Singer,319900000
instagram,7,Khloe Kardashian,310600000,"0.19",United States,Fashion and Accessories Modeling Public Figure,310600000
instagram,8,Taylor Swift,283400000,"0",United States,Entertainment and Music Music Singer Songwriting,283400000
instagram,9,Jennifer Lopez,253600000,"0.01",United States,Art Food and Drink Entertainment and Music Celebrity,253600000
instagram,10,Kourtney Kardashian Barker,224300000,"0.5",United States,Entertainment and Music Business and Finance Modeling Actors,224300000
instagram,11,Miley Cyrus,217200000,"0.01",United States,Music,217200000
instagram,12,KATY PERRY,207100000,"0.01",United States,Entertainment and Music Music Singer Bands Musicians,207100000
instagram,13,Zendaya,184800000,"2.92",United States,Entertainment and Music Acting and Drama Celebrity Actors,184800000
instagram,14,Kevin Hart,180200000,"0.06",United States,Entertainment and Music Comedian Creators & Celebrities,180200000
instagram,15,Cardi B,169000000,"1.05",United States,Entertainment and Music Singer Hair & Beauty Celebrities,169000000
instagram,16,Demi Lovato,157300000,"0.01",United States,Entertainment and Music Singer Songwriting Music,157300000
youtube,2,Cocomelon ,144000000,"0",United States,Unknown,43200000
instagram,17,Ellen DeGeneres,139600000,"0.02",United States,Celebrity TV Shows Comedy Actors,139600000
youtube,4,PewDiePie,111000000,"0.1",United States,Unknown,33300000
instagram,18,BILLIE EILISH,110200000,"0.03",United States,Art Singer,110200000
instagram,19,Vin Diesel,102800000,"0.64",United States,Producers Director Actors,102800000
youtube,5,MrBeast,100000000,"2.4",United States,Celebrity Pets,30000000
