"rank","name","followers","engagement_rate","country","topic_of_influence","potential_reach","username"
1,DR. SHAQUILLE O'NEAL Ed.D.,1700000,"0.22",United States,Sports,519600,shaq
3,Mia K.,1300000,"0.15",United States,Entertainment & Music,393900,miakhalifa
37,Mauricio Ochmann,388100,"0.3",United States,Fashion & Accessories,116400,mauochmann
39,Miami HEAT,369500,"0.21",United States,Sports,110800,miamiheat
40,WeRateDogs,365400,"5.13",United States,Animals,109600,weratedogs
41,Karen Kardasha,362900,"0.18",United States,Funny,108900,karenkardasha
42,Neil Patrick Harris,360800,"0.37",United States,Arts & Crafts Life & Society,108200,nph
43,HEIR JORDYN,352900,"0.77",United States,Fashion & Accessories Beauty & Self Care,105900,jordynwoods
44,NYT Cooking,351500,"0.21",United States,Food,105400,nytcooking
45,Boston Celtics,350900,"0.26",United States,Sports,105300,celtics
46,ONE Championship,338800,"0.15",United States,Sports,101600,onechampionship
47,Niharika Nm,334600,"0.53",United States,Fashion & Accessories,100400,niharika_nm
48,Grant Cardone,332000,"0.19",United States,Finance,99600,grantcardone
49,Jen Selter,331200,"0.23",United States,Fitness & Health,99400,jenselter
50,Rob Gronkowski,322600,"0.48",United States,Sports,96800,gronk
51,AGNEZ MO,321600,"0.8",United States,Entertainment & Music,96500,agnezmo
52,POLITICO,320300,"0.23",United States,Education Politics,96100,politico
53,Cole Walliser,310300,"0.14",United States,Entertainment & Music Photography,93100,colewalliser
54,Morphe,308800,"0.03",United States,Beauty & Self Care Product Showcase,92600,morphebrushes
55,ColourPop Cosmetics,303200,"0.2",United States,Beauty & Self Care,90900,colourpopcosmetics
56,Target,302700,"0.38",United States,Product Showcase,90800,target
57,HIGHSNOBIETY,298100,"0.22",United States,Fashion & Accessories Arts & Crafts Music,89400,highsnobiety
58,The Professor,296800,"0.15",United States,Entertainment & Music Sports Education Product Showcase,89000,theprofessor
59,CNBC,292900,"0.04",United States,Finance,87900,cnbc
60,Funny & Relatable Memes!,291400,"0.08",United States,Entertainment & Music,87400,thetinderblog
61,NHL,290200,"0.07",United States,Sports,87100,nhl
62,South Park,289700,"1.02",United States,Entertainment & Music,86900,southpark
63,Ulta Beauty,287700,"0.12",United States,Beauty & Self Care Product Education Product Showcase,86300,ultabeauty
64,Dani Ospina,286700,"0.19",United States,Fashion & Accessories,86000,daniela_ospina5
65,Walt Disney Animation Studios,280500,"0.6",United States,Animation & Cosplay Entertainment & Music,84100,disneyanimation
66,Paula | Makeup Travel Skincare Beauty Tutorials,279400,"0.18",United States,Beauty & Self Care,83800,pautips
68,Simeon Panda,269500,"0.47",United States,Fitness & Health,80900,simeonpanda
69,Farah Merhi,263300,"0.38",United States,Home & Garden Product Showcase,79000,farahjmerhi
70,T A N . F R A N C E,262200,"0.5",United States,Fashion & Accessories,78700,tanfrance
73,Nice Kicks,260800,"0.31",United States,Fashion & Accessories,78200,nicekicks
74,#Icebox Diamonds & Watches,255600,"0.3",United States,Fashion & Accessories Product Showcase,76700,icebox
75,Lewis Howes,255200,"1.22",United States,Education Upskilling Entertainment & Music,76600,lewishowes
76,Jailyne Ojeda Ochoa,252800,"0.41",United States,Business Finance,75800,jailyneojeda
77,Apartment Therapy,250400,"0.11",United States,Home & Garden,75100,apartmenttherapy
78,The Onion,249900,"0.51",United States,Entertainment & Music,75000,theonion
79,Design Milk - A Sandow Company,246100,"0.11",United States,Arts & Crafts,73800,designmilk
80,Stephen Amell,242500,"0.31",United States,Entertainment & Music,72700,stephenamell
81,The Verge,238200,"0.15",United States,Entertainment & Music,71500,verge
82,"Sandra Lee, MD, FAAD, FAACS",229300,"0.13",United States,Beauty & Self Care Health,68800,drpimplepopper
83,Miss Universe,225000,"0.51",United States,Romance & Wedding Entertainment & Music,67500,missuniverse
84,Zion baby,224600,"0.14",United States,Entertainment & Music Product Showcase,67400,zion
85,Milwaukee Bucks,222000,"0.21",United States,Sports,66600,bucks
87,TUCKER | The Golden Retriever,220900,"2.14",United States,Animals Pets,66300,tuckerbudzyn
88,Paige Spiranac.renee,219700,"0.81",United States,Fitness & Health Sports,65900,_paige
89,Chiquinquira Delgado,218400,"0.08",United States,Fashion & Accessories Entertainment & Music,65500,chiqui_delgado
90,Michael Rainey Jr. Official,216700,"0.76",United States,Entertainment & Music,65000,michaelraineyjr
92,Trevor Wallace,215700,"0.73",United States,Entertainment & Music Funny,64700,trevorwallace
93,Hot Freestyle,212500,"0.77",United States,Entertainment & Music,63700,hotfreestyle
94,Who What Wear,210100,"0.31",United States,Fashion & Accessories,63000,whowhatwear
95,Lan Cruz,207000,"0.58",United States,Entertainment & Music,62100,mclan
96,Matthew Sturniolo.sturniolo,206800,"9.65",United States,Entertainment & Music,62100,matthew
98,Pollito Tropical,200200,"0.52",United States,Entertainment & Music Funny,60100,pollitotropical
99,Georgina Mazzeo,200200,"0.44",United States,Fashion & Accessories Product Showcase,60000,georginamazzeo
100,Nicolas Sturniolo,199700,"7.83",United States,Entertainment & Music Animation & Cosplay,59900,nicolassturniolo
2,KATY PERRY,1700000,"0",United States,Entertainment & Music,509100,katyperry
67,JACOB & CO.,273100,"0",United States,Fashion & Accessories,81900,jacobandco
86,kashdoll,221000,"0.53",United States,Entertainment & Music Fashion & Accessories,66300,kashdoll
14,jackharlow,609100,"0.97",United States,Entertainment & Music,182700,jackharlow
4,FUCKJERRY,1100000,"0.77",United States,Entertainment & Music Funny,327100,fuckjerry
5,billboard,914200,"0.3",United States,Entertainment & Music,274300,billboard
6,Los Angeles Lakers,830100,"0.39",United States,Sports,249000,lakers
7,Positive & Motivational Quotes,790800,"0.26",United States,Education Life & Society,237200,thegoodquote
8,Gabrielle Union-Wade,784700,"1.04",United States,Entertainment & Music Fashion & Accessories,235400,gabunion
9,FashionNova.com,737400,"0.12",United States,Fashion & Accessories,221200,fashionnova
10,WASTED,707700,"0.91",United States,Funny Entertainment & Music,212300,wasted
11,The Trillionaire Life™,652600,"0.39",United States,Finance,195800,thetrillionairelife
12,Betches Media,624700,"0.41",United States,Entertainment & Music,187400,betches
13,Metallica,614200,"0.99",United States,Entertainment & Music,184300,metallica
15,WE THE URBAN,599100,"1.26",United States,Fashion & Accessories,179700,wetheurban
16,Atl..Da Crew RIP RICHIE,576400,"0.81",United States,Entertainment & Music Comedy,172900,dcyoungfly
17,Jake Paul,566600,"0.48",United States,Entertainment & Music Sports,170000,jakepaul
18,Anastasia Beverly Hills,557100,"0.07",United States,Beauty & Self Care,167100,anastasiabeverlyhills
19,James Charles,552500,"0.38",United States,Beauty & Self Care,165800,jamescharles
20,René Pérez Joglar,543100,"0.63",United States,Entertainment & Music,162900,residente
21,Hannah Stocking,539900,"0.27",United States,Entertainment & Music Funny,162000,hannahstocking
22,Mariah Carey,525400,"3.15",United States,Entertainment & Music,157600,mariahcarey
23,HoodClips,518400,"0.38",United States,Entertainment & Music Funny,155500,hoodclips
24,travisbarker,512400,"0.69",United States,Entertainment & Music,153700,travisbarker
25,DON OMAR aka KONG,488800,"0.27",United States,Entertainment & Music,146600,donomar
26,Upworthy,476200,"0.24",United States,Life & Society,142900,upworthy
27,Sommer Ray,465200,"0.21",United States,Fitness & Health Beauty & Self Care,139600,sommerray
28,"Andrew Huberman, Ph.D.",464300,"0.8",United States,Education Fitness & Health,139300,hubermanlab
29,Alex Morgan,462400,"0.82",United States,Sports,138700,alexmorgan13
30,Devon Rodriguez,450400,"0.28",United States,Arts & Crafts,135100,devonrodriguezart
31,History Photographed,440900,"0.49",United States,Education,132300,historyphotographed
32,FunnyMike,440100,"0.54",United States,Entertainment & Music,132000,funnymike
34,THE HOME EDIT ®,412800,"0.1",United States,Home & Garden,123800,thehomeedit
71,Brooklyn Nets,261700,"0.12",United States,Sports Entertainment & Music,78500,brooklynnets
72,H A L E Y K A L I L,260900,"1.59",United States,Humor,78300,haleyybaylee
35,TrustGodBro,400100,"1.28",United States,Religion,120000,trustgodbro
36,Too Faced Cosmetics,398200,"0.05",United States,Beauty & Self Care,119500,toofaced
38,Bony,386600,"1.8",United States,Sports,116000,jonnybones
91,NELK,216300,"0.81",United States,Entertainment & Music,64900,nelkboys
97,Rudy Mancuso,201300,"0.19",United States,Entertainment & Music,60400,rudymancuso
33,Betch,431100,"2.93",United States,Entertainment & Music,129300,bitch
