"rank","name","followers","engagement_rate","country","topic_of_influence","potential_reach","username"
52,Nickelodeon,12900000,"0",United States,Entertainment and Music,3900000,nickelodeon
59,NLE choppa,12300000,"0",United States,Entertainment and Music,3700000,nlechoppamusic
61,BABY J,12000000,"0",United States,Entertainment and Music,3600000,jostasy
70,Caleb Coffee,10500000,"0",United States,Entertainment and Music,3200000,calebcoffee
88,Xchitl Gmez.gomez,8300000,"0",United States,Entertainment and Music,2500000,_xochitl
93,Josh Peck,7600000,"0",United States,Entertainment and Music,2300000,joshpeck
95,Brandon Conner,7500000,"0",United States,Entertainment and Music,2300000,brandonspam_
1,Bella Poarch,92600000,"0.8",United States,Entertainment and Music,27800000,bellapoarch
5,Will Smith,74100000,"0.7",United States,Entertainment and Music,22200000,willsmith
14,Lele Pons,31500000,"0.9",United States,Entertainment and Music,9500000,lelepons
47,Tabs,13500000,"2.3",United States,Entertainment and Music,4100000,tabithaswatosh
74,Bill Nye,9900000,"4.5",United States,Entertainment and Music,3000000,billnye
26,Duke Depp,20800000,"0",United States,Entertainment and Music,6200000,willywonkatiktok
37,Charlie Puth,16600000,"0",United States,Entertainment and Music,5000000,charlieputh
97,SWAGGY WOLFDOG ,7500000,"0",United States,Entertainment and Music,2300000,swagrman
63,anna x,12000000,"1.3",United States,Fashion and Accessories,3600000,annaxsitar
64,Pinup pixie,11900000,"1",United States,Fashion and Accessories,3600000,pinuppixie
65,Megan Thee Stallion,11800000,"0.1",United States,Entertainment and Music,3500000,theestallion
66,Liane V,11700000,"0.2",United States,Fashion and Accessories,3500000,lianev
67,The Plastique Tiara,11600000,"0.3",United States,Beauty and Self Care Entertainment and Music,3500000,plastique_tiara
76,Bruno Mars,9700000,"7.2",United States,Entertainment and Music Arts and Crafts,2900000,brunomars
90,Samuel Grubbs,8100000,"10.7",United States,Entertainment and Music,2400000,samuelgrubbs
91,noor,7900000,"0.3",United States,Entertainment and Music,2400000,noordabashh
10,James Charles,36200000,"0",United States,Beauty and Self Care Arts and Crafts,10900000,jamescharles
15,Stokes Twins,31200000,"0",United States,Entertainment and Music,9400000,stokestwins
17,Topper Guild,29000000,"0",United States,Entertainment and Music Celebrity,8700000,topperguild
19,DAVID DOBRIK,26000000,"0",United States,Entertainment and Music Funny,7800000,daviddobrik
21,Jacob Sartorius,23700000,"0",United States,Entertainment and Music,7100000,jacobsartorius
23,Lance Stewart,22100000,"0",United States,Entertainment and Music,6600000,lance210
25,Bryce Hall,21500000,"0",United States,Entertainment and Music,6500000,brycehall
28,Tayler Holder,20200000,"0",United States,Entertainment and Music,6100000,itstaylerholder
31,Joe Bartolozzi.bartolozzi,18500000,"0",United States,Entertainment and Music,5600000,joe
34,MADI MONROE,17500000,"0",United States,Fashion and Accessories,5300000,madi
36,Austin,16900000,"0",United States,Entertainment and Music,5100000,austinsprinz
39,Savage ,16200000,"0",United States,Business and Finance,4900000,itsavage
40,"Sandra Lee, MD",15600000,"0",United States,Beauty and Self Care Education,4700000,drpimplepopper
41,IdeaTimeEverywhere,15300000,"0",United States,Education,4600000,ideatimes
45,Gary Vaynerchuk,13800000,"0",United States,Education,4100000,garyvee
96,Mason Adams (Glasco),7500000,"0",United States,Travel,2300000,maseplace
42,The DAmelio Family,15100000,"0",United States,Entertainment and Music family,4500000,dameliofamilyofficial
43,Bad Barbie ,14600000,"0",United States,Beauty and Self Care Entertainment and Music,4400000,badbaarbie
46,Audrey Hopkins,13600000,"0",United States,Animation and Cosplay Arts and Crafts,4100000,auditydraws
48,MisterMainer,13300000,"0",United States,Nature,4000000,mistermainer
49,Jacob Colvin.pnw,13000000,"0",United States,Fitness and Health,3900000,jake
50,Cowbellys Memes,13000000,"0",United States,Funny,3900000,memes
51,Maverick Baker,13000000,"0",United States,Entertainment and Music,3900000,maverickbaker
53,House of Highlights,12700000,"0",United States,Sports Entertainment and Music,3800000,houseofhighlights
57,sebastianbails,12600000,"0",United States,Entertainment and Music,3800000,sebastianbails
58,EHIZ,12600000,"0",United States,Acting and Drama Entertainment and Music Funny Celebrity,3800000,_ehiz
60,Dhar Mann.mann,12200000,"0",United States,Life and Society,3700000,dhar
68,Anxiety couple,11200000,"0",United States,family Entertainment and Music,3400000,anxietycouple
69,Ellie Zeiler,10800000,"0",United States,Beauty and Self Care,3200000,elliezeiler
71, DIANA ASTER ,10400000,"0",United States,Beauty and Self Care,3100000,diana_aster
72,Justina Valentine,10300000,"0",United States,Music,3100000,justinavalentine
73,Hope Schwing,10000000,"0",United States,Acting and Drama,3000000,hope_schwing
75,CHIKYBOMBOMREAL,9900000,"0",United States,Entertainment and Music Funny,3000000,chikybombomreal
78,IOHA,9500000,"0",United States,Education,2900000,instituteofhumananatomy
82,Simba Jones,9200000,"0",United States,Entertainment and Music,2800000,baby_simba47
83,kat.vs.damfworld on IG,9100000,"0",United States,Entertainment and Music,2700000,katkatmanimtim123
84,Casey Simpson,9000000,"0",United States,Entertainment and Music,2700000,caseysimpson
85,ThomasSanders,8900000,"0",United States,Entertainment and Music,2700000,thomassanders
89,Now United,8200000,"0",United States,Entertainment and Music,2500000,nowunited
92,Mark Anastasio,7700000,"0",United States,Entertainment and Music,2300000,markanastasio
94,Michelle Kennelly,7600000,"0",United States,Fashion and Accessories Entertainment and Music Romance and Wedding,2300000,kennelly_michelle
98,Tracy Joseph.oj,7400000,"0",United States,Entertainment and Music,2200000,tracy
99,CAROLINA GUERRERO,7300000,"0",United States,Entertainment and Music Funny,2200000,carolatv_
100,Asher Angel,7200000,"0",United States,Acting and Drama,2200000,asherangel
2,AddisonRae,88500000,"1",United States,Beauty and Self Care,26600000,addisonre
3,Zach King,78100000,"2.9",United States,Entertainment and Music,23400000,zachking
4,The Rock,74200000,"0.9",United States,Entertainment and Music Fitness and Health Business and Finance,22300000,therock
6,Jason Derulo,58900000,"0.4",United States,Entertainment and Music,17700000,jasonderulo
7,Kylie Jenner,56000000,"3.2",United States,Beauty and Self Care Fashion and Accessories,16800000,kyliejenner
8,JoJo Siwa,45600000,"0.3",United States,Entertainment and Music,13700000,itsjojosiwa
9,Barstool Sports,36900000,"0.1",United States,Entertainment and Music Sports,11100000,barstoolsports
11,Kevin Hart,34800000,"1.7",United States,Entertainment and Music,10400000,imkevinhart
12,Devon Rodriguez,32100000,"0.2",United States,Arts and Crafts Education Upskilling,9600000,devonrodriguezart
13,Brooke Monk,31700000,"2.1",United States,Entertainment and Music Funny,9500000,brookemonk_
18,Doja Cat,26000000,"0.1",United States,Entertainment and Music,7800000,dojacat
20,Terry Crews,24100000,"0.4",United States,Entertainment and Music Celebrity,7200000,terrycrews
22,Lauren Godwin,22600000,"0.3",United States,Entertainment and Music family,6800000,laurengodwin
24,ROMINA,22000000,"0.2",United States,Entertainment and Music,6600000,rominagafur
27,Nicki Minaj,20300000,"1.4",United States,Entertainment and Music,6100000,nickiminaj
29,Olivia Rodrigo,20000000,"9",United States,Entertainment and Music,6000000,livbedumb
30,Miley Cyrus,18800000,"1.2",United States,Entertainment and Music,5600000,mileycyrus
32,Madison Beer,18400000,"4.7",United States,Entertainment and Music Beauty and Self Care,5500000,madisonbeer
33,LeendaDong,17600000,"1.3",United States,Entertainment and Music Funny,5300000,yoleendadong
35,Camila Cabello,17300000,"3.1",United States,Entertainment and Music,5200000,camilacabello
38,Post Malone,16300000,"1.5",United States,Entertainment and Music,4900000,postmalone
44,Nikita Dragun,14400000,"4.3",United States,Beauty and Self Care,4300000,nikitadragun
54,Emily Mariko,12700000,"2.9",United States,Fashion and Accessories Food Food and Drink,3800000,emilymariko
55,King Science.science,12700000,"0.1",United States,Education,3800000,king
56,Steve Harvey,12700000,"1",United States,Entertainment and Music,3800000,steveharvey
62,Sofie Dossi,12000000,"0.7",United States,Fitness and Health Entertainment and Music,3600000,sofiedossi
77,Ruthbell,9600000,"0.1",United States,Games Entertainment and Music Video Gaming,2900000,ruthbellpan
79,Mariah Carey,9400000,"9.8",United States,Entertainment and Music,2800000,mariahcarey
80,Montana Tucker,9200000,"0.5",United States,Entertainment and Music Celebrity Music,2800000,montanatucker
86,Money Lawyer Erika,8400000,"0.1",United States,Finance,2500000,erikakullberg
87,Lyna Perez,8300000,"3.1",United States,Beauty and Self Care,2500000,lynaperezxo
81,Kylie King,9200000,"0.1",United States,Entertainment and Music,2800000,kylielagringa
16,Liza Koshy,30200000,"0",United States,Entertainment and Music,9100000,lizzza
